Fecha,Ventas
2019-01-01,100
2019-02-01,102
2019-03-01,101
2019-04-01,104
2019-05-01,105
2019-06-01,107
2019-07-01,108
2019-08-01,110
2019-09-01,109
2019-10-01,112
2019-11-01,114
2019-12-01,115
2020-01-01,118
2020-02-01,120
2020-03-01,119
2020-04-01,123
2020-05-01,124
2020-06-01,126
2020-07-01,127
2020-08-01,130
2020-09-01,129
2020-10-01,132
2020-11-01,134
2020-12-01,135
2021-01-01,138
2021-02-01,140
2021-03-01,141
2021-04-01,144
2021-05-01,145
2021-06-01,147
2021-07-01,148
2021-08-01,151
2021-09-01,150
2021-10-01,153
2021-11-01,155
2021-12-01,156
2022-01-01,159
2022-02-01,161
2022-03-01,160
2022-04-01,164
2022-05-01,165
2022-06-01,167
2022-07-01,168
2022-08-01,171
2022-09-01,170
2022-10-01,173
2022-11-01,175
2022-12-01,176
2023-01-01,179
2023-02-01,181
2023-03-01,180
2023-04-01,184
2023-05-01,185
2023-06-01,187
2023-07-01,188
2023-08-01,191
2023-09-01,190
2023-10-01,193
2023-11-01,195
2023-12-01,196
